ANO_OID,ANO_PUBLIC_ID,OLD_NAME,NEW_NAME,SYN_SYNONYM
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32627,EMAPA:31521,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32649,EMAPA:31543,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
32650,EMAPA:31544,early proximal tubule of capillary loop nephron,early proximal tubule of capillary loop nephron,anlage of proximal tubule
33552,EMAPA:32268,superficial cell layer of prostatic urethra,superficial cell layer of prostatic urethra,superficial epithelial layer of prostatic urethra
